Exchange,Trade_date
SSE,2018-04-23
SSE,2018-04-24
SSE,2018-04-25
SSE,2018-04-26
SSE,2018-04-27
SSE,2018-05-02
SSE,2018-05-03
SSE,2018-05-04
SSE,2018-05-07
SSE,2018-05-08
SSE,2018-05-09
SSE,2018-05-10
SSE,2018-05-11
SSE,2018-05-14
SSE,2018-05-15
SSE,2018-05-16
SSE,2018-05-17
SSE,2018-05-18
SSE,2018-05-21
SSE,2018-05-22
SSE,2018-05-23
SSE,2018-05-24
SSE,2018-05-25
SSE,2018-05-28
SSE,2018-05-29
SSE,2018-05-30
SSE,2018-05-31
SSE,2018-06-01
SSE,2018-06-04
SSE,2018-06-05
SSE,2018-06-06
SSE,2018-06-07
SSE,2018-06-08
SSE,2018-06-11
SSE,2018-06-12
SSE,2018-06-13
SSE,2018-06-14
SSE,2018-06-15
SSE,2018-06-19
SSE,2018-06-20
SSE,2018-06-21
SSE,2018-06-22
SSE,2018-06-25
SSE,2018-06-26
SSE,2018-06-27
SSE,2018-06-28
SSE,2018-06-29
SSE,2018-07-02
SSE,2018-07-03
SSE,2018-07-04
SSE,2018-07-05
SSE,2018-07-06
SSE,2018-07-09
SSE,2018-07-10
SSE,2018-07-11
SSE,2018-07-12
SSE,2018-07-13
SSE,2018-07-16
SSE,2018-07-17
SSE,2018-07-18
SSE,2018-07-19
SSE,2018-07-20
SSE,2018-07-23
SSE,2018-07-24
SSE,2018-07-25
SSE,2018-07-26
SSE,2018-07-27
SSE,2018-07-30
SSE,2018-07-31
SSE,2018-08-01
SSE,2018-08-02
SSE,2018-08-03
SSE,2018-08-06
SSE,2018-08-07
SSE,2018-08-08
SSE,2018-08-09
SSE,2018-08-10
SSE,2018-08-13
SSE,2018-08-14
SSE,2018-08-15
SSE,2018-08-16
SSE,2018-08-17
SSE,2018-08-20
SSE,2018-08-21
SSE,2018-08-22
SSE,2018-08-23
SSE,2018-08-24
SSE,2018-08-27
SSE,2018-08-28
SSE,2018-08-29
SSE,2018-08-30
SSE,2018-08-31
SSE,2018-09-03
SSE,2018-09-04
SSE,2018-09-05
SSE,2018-09-06
SSE,2018-09-07
SSE,2018-09-10
SSE,2018-09-11
SSE,2018-09-12
SSE,2018-09-13
SSE,2018-09-14
SSE,2018-09-17
SSE,2018-09-18
SSE,2018-09-19
SSE,2018-09-20
SSE,2018-09-21
SSE,2018-09-25
SSE,2018-09-26
SSE,2018-09-27
SSE,2018-09-28
SSE,2018-10-08
SSE,2018-10-09
SSE,2018-10-10
SSE,2018-10-11
SSE,2018-10-12
SSE,2018-10-15
SSE,2018-10-16
SSE,2018-10-17
SSE,2018-10-18
SSE,2018-10-19
SSE,2018-10-22
SSE,2018-10-23
SSE,2018-10-24
SSE,2018-10-25
SSE,2018-10-26
SSE,2018-10-29
SSE,2018-10-30
SSE,2018-10-31
SSE,2018-11-01
SSE,2018-11-02
SSE,2018-11-05
SSE,2018-11-06
SSE,2018-11-07
SSE,2018-11-08
SSE,2018-11-09
SSE,2018-11-12
SSE,2018-11-13
SSE,2018-11-14
SSE,2018-11-15
SSE,2018-11-16
SSE,2018-11-19
SSE,2018-11-20
SSE,2018-11-21
SSE,2018-11-22
SSE,2018-11-23
SSE,2018-11-26
SSE,2018-11-27
SSE,2018-11-28
SSE,2018-11-29
SSE,2018-11-30
SSE,2018-12-03
SSE,2018-12-04
SSE,2018-12-05
SSE,2018-12-06
SSE,2018-12-07
