Instrument,Date,Close,Open,High,Low,Change,Pct_Chg,Volume,AMount,Turnover_rate
000300.SH,2013-09-24,2443.89,2470.72,2470.75,2420.09,-28.4,-1.15,978530.0,9676980.0,0.48
000300.SH,2013-09-25,2429.03,2440.84,2455.04,2423.28,-14.85,-0.61,905184.0,8911920.0,0.44
000300.SH,2013-09-26,2384.44,2422.63,2422.63,2382.54,-44.59,-1.84,862368.0,8418390.0,0.42
000300.SH,2013-09-27,2394.97,2382.22,2402.2,2379.86,10.53,0.44,659715.0,6638400.0,0.32
000300.SH,2013-09-30,2409.04,2406.21,2415.07,2397.22,14.07,0.59,595140.0,6099010.0,0.29
000300.SH,2013-10-08,2441.81,2406.42,2446.7,2392.57,32.77,1.36,847855.0,8422990.0,0.41
000300.SH,2013-10-09,2453.58,2432.94,2453.75,2424.77,11.77,0.48,762776.0,7612830.0,0.37
000300.SH,2013-10-10,2429.32,2455.64,2455.98,2422.02,-24.27,-0.99,903297.0,8946800.0,0.44
000300.SH,2013-10-11,2468.51,2442.36,2471.17,2439.63,39.19,1.61,933883.0,9181150.0,0.45
000300.SH,2013-10-14,2472.54,2472.27,2483.13,2462.55,4.03,0.16,1000810.0,9910920.0,0.49
000300.SH,2013-10-15,2467.52,2475.32,2479.13,2449.42,-5.03,-0.2,891735.0,8610080.0,0.43
000300.SH,2013-10-16,2421.37,2459.08,2459.08,2409.72,-46.15,-1.87,889798.0,8315080.0,0.43
000300.SH,2013-10-17,2413.33,2432.65,2440.92,2407.78,-8.04,-0.33,712225.0,6772290.0,0.35
000300.SH,2013-10-18,2426.05,2415.12,2435.71,2410.6,12.72,0.53,602916.0,5913880.0,0.29
000300.SH,2013-10-21,2471.32,2431.92,2472.79,2423.56,45.27,1.87,849098.0,8222310.0,0.41
000300.SH,2013-10-22,2445.89,2470.26,2470.26,2439.86,-25.43,-1.03,907030.0,8341210.0,0.44
000300.SH,2013-10-23,2418.49,2451.56,2474.37,2412.48,-27.4,-1.12,915454.0,8328680.0,0.45
000300.SH,2013-10-24,2400.51,2412.24,2422.94,2395.47,-17.98,-0.74,645608.0,6042720.0,0.31
000300.SH,2013-10-25,2368.56,2400.52,2413.33,2353.99,-31.95,-1.33,770702.0,7077810.0,0.37
000300.SH,2013-10-28,2365.95,2372.57,2377.25,2351.86,-2.6,-0.11,628762.0,5660210.0,0.31
000300.SH,2013-10-29,2372.05,2369.22,2408.62,2327.9,6.1,0.26,1067380.0,9174160.0,0.52
000300.SH,2013-10-30,2407.47,2371.85,2407.85,2365.51,35.42,1.49,921781.0,7573510.0,0.45
000300.SH,2013-10-31,2373.72,2398.4,2398.4,2370.23,-33.75,-1.4,827370.0,7039390.0,0.4
000300.SH,2013-11-01,2384.96,2373.96,2395.01,2365.15,11.24,0.47,630558.0,5782000.0,0.31
000300.SH,2013-11-04,2380.45,2397.21,2404.9,2376.36,-4.51,-0.19,517985.0,4895950.0,0.25
000300.SH,2013-11-05,2383.77,2366.88,2385.69,2343.8,3.32,0.14,620845.0,5693560.0,0.3
000300.SH,2013-11-06,2353.57,2371.32,2383.54,2352.79,-30.2,-1.27,637767.0,5953690.0,0.31
000300.SH,2013-11-07,2340.55,2351.87,2356.67,2328.25,-13.02,-0.55,548218.0,5094260.0,0.27
