Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Mkt_class,Ind_class
002081.SZ,2008-11-18,17.68,16.5,18.28,16.5,18.05,-1.55,-8.59,2909.48,4986.75,0.7053,0.7053,1.09,25.7306,18.2941,3.5461,0.6717,0.7338,0.8081,0.8081,14100.0,4125.0,4125.0,232650.0,68062.5,1.516,1,96
002081.SZ,2008-11-19,16.75,17.7,17.7,16.6,16.5,1.2,7.27,1930.46,3331.02,0.468,0.468,0.65,27.6019,19.6246,3.8039,0.7206,0.7871,0.7533,0.7533,14100.0,4125.0,4125.0,249570.0,73012.5,1.516,1,96
002081.SZ,2008-11-20,17.31,17.43,18.17,17.3,17.7,-0.27,-1.53,2241.52,3995.05,0.5434,0.5434,0.71,27.1809,19.3252,3.7459,0.7096,0.7751,0.765,0.765,14100.0,4125.0,4125.0,245763.0,71898.8,1.516,1,96
002081.SZ,2008-11-21,17.0,17.04,17.43,16.13,17.43,-0.39,-2.24,2716.95,4609.14,0.6587,0.6587,0.92,26.5727,18.8928,3.6621,0.6937,0.7578,0.7825,0.7825,14100.0,4125.0,4125.0,240264.0,70290.0,1.516,1,96
002081.SZ,2008-11-24,16.6,16.2,17.0,16.0,17.04,-0.84,-4.93,2648.94,4367.31,0.6422,0.6422,1.05,25.2628,17.9615,3.4816,0.6595,0.7204,0.823,0.823,14100.0,4125.0,4125.0,228420.0,66825.0,1.516,1,96
002081.SZ,2008-11-25,16.3,16.37,16.5,16.03,16.2,0.17,1.05,1044.94,1698.65,0.2533,0.2533,0.42,25.5279,18.15,3.5181,0.6665,0.728,0.8145,0.8145,14100.0,4125.0,4125.0,230817.0,67526.2,1.516,1,96
002081.SZ,2008-11-26,16.5,16.59,16.69,16.01,16.37,0.22,1.34,1168.48,1922.72,0.2833,0.2833,0.55,25.871,18.3939,3.5654,0.6754,0.7378,0.8037,0.8037,14100.0,4125.0,4125.0,233919.0,68433.8,1.516,1,96
002081.SZ,2008-11-27,17.6,17.01,18.0,16.7,16.59,0.42,2.53,1868.62,3229.87,0.453,0.453,0.95,26.5259,18.8596,3.6557,0.6925,0.7565,0.7839,0.7839,14100.0,4125.0,4125.0,239841.0,70166.2,1.516,1,96
002081.SZ,2008-11-28,16.81,16.91,17.01,16.32,17.01,-0.1,-0.59,1079.0,1799.49,0.2616,0.2616,0.57,26.37,18.7487,3.6342,0.6884,0.752,0.7885,0.7885,14100.0,4125.0,4125.0,238431.0,69753.8,1.516,1,96
002081.SZ,2008-12-01,16.76,17.25,17.4,16.63,16.91,0.34,2.01,927.9,1584.15,0.2249,0.2249,0.59,26.9002,19.1257,3.7072,0.7023,0.7671,0.7729,0.7729,14100.0,4125.0,4125.0,243225.0,71156.2,1.516,1,96
002081.SZ,2008-12-02,17.11,17.84,18.0,16.82,17.25,0.59,3.42,4376.37,7781.9,1.0609,1.0609,3.59,27.8203,19.7798,3.834,0.7263,0.7934,0.7474,0.7474,14100.0,4125.0,4125.0,251544.0,73590.0,1.516,1,96
002081.SZ,2008-12-03,18.0,18.46,18.5,17.81,17.84,0.62,3.48,3953.1,7227.38,0.9583,0.9583,2.1,28.7871,20.4672,3.9673,0.7515,0.8209,0.7223,0.7223,14100.0,4125.0,4125.0,260286.0,76147.5,1.516,1,96
002081.SZ,2008-12-04,18.5,18.4,19.0,18.4,18.46,-0.06,-0.33,3953.58,7412.02,0.9584,0.9584,1.62,28.6936,20.4007,3.9544,0.7491,0.8183,0.7246,0.7246,14100.0,4125.0,4125.0,259440.0,75900.0,1.516,1,96
002081.SZ,2008-12-05,18.29,18.9,19.25,18.05,18.4,0.5,2.72,2840.75,5354.29,0.6887,0.6887,0.99,29.4733,20.9551,4.0618,0.7695,0.8405,0.7055,0.7055,14100.0,4125.0,4125.0,266490.0,77962.5,1.516,1,96
002081.SZ,2008-12-08,18.93,19.52,19.8,18.9,18.9,0.62,3.28,2755.95,5360.53,0.6681,0.6681,0.86,30.4401,21.6425,4.1951,0.7947,0.8681,0.6831,0.6831,14100.0,4125.0,4125.0,275232.0,80520.0,1.516,1,96
002081.SZ,2008-12-09,19.53,19.23,19.95,19.0,19.52,-0.29,-1.49,2332.31,4511.3,0.5654,0.5654,0.65,29.9879,21.3209,4.1328,0.7829,0.8552,0.6934,0.6934,14100.0,4125.0,4125.0,271143.0,79323.8,1.516,1,96
002081.SZ,2008-12-10,19.19,19.37,19.37,18.75,19.23,0.14,0.73,2427.42,4625.34,0.5885,0.5885,0.77,30.2062,21.4762,4.1629,0.7886,0.8614,0.6883,0.6883,14100.0,4125.0,4125.0,273117.0,79901.2,1.516,1,96
002081.SZ,2008-12-11,19.3,18.7,19.39,18.65,19.37,-0.67,-3.46,1638.51,3112.58,0.3972,0.3972,0.57,29.1614,20.7333,4.0189,0.7613,0.8316,0.713,0.713,14100.0,4125.0,4125.0,263670.0,77137.5,1.516,1,96
002081.SZ,2008-12-12,18.5,18.68,18.68,17.6,18.7,-0.02,-0.11,2549.19,4609.7,0.618,0.618,1.06,29.1302,20.7111,4.0146,0.7605,0.8307,0.7138,0.7138,14100.0,4125.0,4125.0,263388.0,77055.0,1.516,1,96
