Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Vwap,Intra_tail_ratio,Intra_returns_skewness,Intra_returns_kurtosis,Intra_price_vol_corr,Intra_downside_ratio,Up_limit,Down_limit,Mfd_buyord,Mfd_sellord,Mfd_volinflowrate,Mkt_class,Ind_class_l1,Ind_class_l2,List_date
600418.SH,2008-07-17,4.0,4.0,4.06,3.9,3.94,0.06,1.52,43242.8,17224.6,0.4909,0.6263,0.68,15.6944,18.2826,1.2801,0.3611,0.3349,3.125,2.0,128874.0,88086.8,69046.4,515495.0,352347.0,5.422,3.98324,0.471637,0.830582,3.41944,0.388848,0.416353,4.33,3.55,6784,,,1,23,89,2001-08-24
600418.SH,2008-07-18,4.02,4.11,4.12,3.92,4.0,0.11,2.75,38261.9,15457.1,0.4344,0.5541,0.72,16.126,18.7853,1.3153,0.3711,0.3442,3.0414,1.9465,128874.0,88086.8,69046.4,529671.0,362037.0,5.422,4.03982,0.398698,0.136695,-0.529121,0.73454,0.387669,4.4,3.6,6269,,,1,23,89,2001-08-24
600418.SH,2008-07-21,4.1,4.25,4.25,4.04,4.11,0.14,3.41,85141.2,35581.5,0.9666,1.2331,1.67,16.6753,19.4252,1.3601,0.3837,0.3559,2.9412,1.8824,128874.0,88086.8,69046.4,547713.0,374369.0,5.422,4.17912,0.183836,0.212666,-0.906798,0.642045,0.309738,4.52,3.7,22754,,,1,23,89,2001-08-24
600418.SH,2008-07-22,4.2,4.35,4.42,4.18,4.25,0.1,2.35,126457.0,54425.4,1.4356,1.8315,2.25,17.0677,19.8823,1.3921,0.3927,0.3643,2.8736,1.8391,128874.0,88086.8,69046.4,560600.0,383178.0,5.422,4.30386,0.44238,-0.172582,-0.127376,0.82072,0.451514,4.68,3.83,29156,20414,0.17781915576283047,1,23,89,2001-08-24
600418.SH,2008-07-23,4.46,4.55,4.77,4.46,4.35,0.2,4.6,409875.0,189316.0,4.6531,5.9362,5.88,17.8524,20.7964,1.4561,0.4108,0.381,2.7473,1.7582,128874.0,88086.8,69046.4,586375.0,400795.0,5.422,4.61886,0.125995,0.357769,1.7325,0.454617,0.460133,4.79,3.92,84333,118187,-0.16723713477960983,1,23,89,2001-08-24
600418.SH,2008-07-24,4.48,4.64,4.65,4.38,4.55,0.09,1.98,229806.0,103467.0,2.6089,3.3283,1.63,18.2055,21.2078,1.4849,0.4189,0.3885,2.694,1.7241,128874.0,88086.8,69046.4,597974.0,408723.0,5.422,4.50238,0.22566,-0.0176817,-0.0922357,0.323105,0.387064,5.01,4.1,45797,,,1,23,89,2001-08-24
600418.SH,2008-07-25,4.52,4.5,4.59,4.45,4.64,-0.14,-3.02,104549.0,47336.2,1.1869,1.5142,0.59,17.6562,20.5679,1.4401,0.4063,0.3768,2.7778,1.7778,128874.0,88086.8,69046.4,579932.0,396391.0,5.422,4.52767,0.245158,0.0908498,1.48582,-0.269786,0.493041,5.1,4.18,16482,,,1,23,89,2001-08-24
600418.SH,2008-07-28,4.5,4.53,4.55,4.43,4.5,0.03,0.67,103808.0,46515.8,1.1785,1.5035,0.54,17.7739,20.705,1.4497,0.409,0.3793,2.7594,1.766,128874.0,88086.8,69046.4,583798.0,399033.0,5.422,4.48095,0.184639,-0.192347,2.05065,-0.161576,0.454122,4.95,4.05,20165,,,1,23,89,2001-08-24
600418.SH,2008-07-29,4.48,4.45,4.56,4.32,4.53,-0.08,-1.77,86799.5,38496.8,0.9854,1.2571,0.45,17.46,20.3394,1.4241,0.4018,0.3726,2.809,1.7978,128874.0,88086.8,69046.4,573488.0,391986.0,5.422,4.43514,0.161244,1.36151,3.3123,0.420588,0.35174,4.98,4.08,14244,,,1,23,89,2001-08-24
600418.SH,2008-07-30,4.52,4.4,4.55,4.37,4.45,-0.05,-1.12,46776.7,20759.1,0.531,0.6775,0.25,17.2638,20.1108,1.4081,0.3973,0.3684,2.8409,1.8182,128874.0,88086.8,69046.4,567044.0,387582.0,5.422,4.43791,0.187058,0.515945,0.247422,-0.21569,0.535139,4.9,4.01,3632,,,1,23,89,2001-08-24
