Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Vwap,Intra_tail_ratio,Intra_returns_skewness,Intra_returns_kurtosis,Intra_price_vol_corr,Intra_downside_ratio,Up_limit,Down_limit,Mfd_buyord,Mfd_sellord,Mfd_volinflowrate,Mkt_class,Ind_class_l1,Ind_class_l2,List_date
000990.SZ,2010-01-05,18.1,18.75,18.9,17.88,18.36,0.39,2.12,92636.5,171545.0,3.5361,5.7887,1.24,202.603,256.983,3.5533,2.2128,1.984,0.3878,0.3878,29703.2,26197.4,16003.0,556936.0,491202.0,2.921,18.5181,0.16827,0.260413,0.796807,0.334504,0.400945,20.2,16.52,53184,46274,0.07056789074590185,1,15,56,2000-07-06
000990.SZ,2010-01-06,18.7,18.47,18.74,18.24,18.75,-0.28,-1.49,66552.9,123212.0,2.5404,4.1588,0.84,199.577,253.145,3.5002,2.1798,1.9543,0.3937,0.3937,29703.2,26197.4,16003.0,548619.0,483867.0,2.921,18.5134,0.159196,0.258136,0.537742,-0.317625,0.496129,20.63,16.88,36585,41424,-0.06151312241847828,1,15,56,2000-07-06
000990.SZ,2010-01-07,18.37,18.18,18.65,18.03,18.47,-0.29,-1.57,51976.3,95395.7,1.984,3.2479,0.66,196.444,249.17,3.4452,2.1456,1.9237,0.4,0.4,29703.2,26197.4,16003.0,540005.0,476269.0,2.921,18.3537,0.167712,0.0928592,0.0178223,0.0831395,0.542379,20.32,16.62,30747,29674,0.018878271136659127,1,15,56,2000-07-06
000990.SZ,2010-01-08,18.16,17.6,18.16,17.17,18.18,-0.58,-3.19,69883.1,122212.0,2.6676,4.3669,0.96,190.176,241.221,3.3353,2.0771,1.8623,0.4132,0.4132,29703.2,26197.4,16003.0,522777.0,461075.0,2.921,17.4881,0.124794,0.32582,1.07323,0.320362,0.485819,20.0,16.36,32121,48533,-0.2022427260548585,1,15,56,2000-07-06
000990.SZ,2010-01-11,17.71,17.45,17.8,16.95,17.6,-0.15,-0.85,55189.8,95444.5,2.1067,3.4487,0.76,188.556,239.165,3.3069,2.0594,1.8464,0.4167,0.4167,29703.2,26197.4,16003.0,518322.0,457145.0,2.921,17.2939,0.127904,0.822183,2.70055,-0.484653,0.426094,19.36,15.84,31510,33849,-0.03397860692099586,1,15,56,2000-07-06
000990.SZ,2010-01-12,17.44,17.86,18.09,17.16,17.45,0.41,2.35,33166.6,58831.8,1.266,2.0725,0.49,192.986,244.785,3.3846,2.1078,1.8898,0.4071,0.4071,29703.2,26197.4,16003.0,530500.0,467886.0,2.921,17.7382,0.111677,0.949065,1.86928,0.0575996,0.281011,19.2,15.71,7588,4881,0.21748780790577785,1,15,56,2000-07-06
000990.SZ,2010-01-13,17.64,17.41,18.36,17.23,17.86,-0.45,-2.52,36541.8,64641.4,1.3949,2.2834,0.66,188.123,238.617,3.2993,2.0547,1.8422,0.4177,0.4177,29703.2,26197.4,16003.0,517133.0,456097.0,2.921,17.6897,0.0975863,2.16022,7.562,-0.148646,0.316451,19.65,16.07,16222,19114,-0.07924604069550227,1,15,56,2000-07-06
000990.SZ,2010-01-14,17.42,17.9,18.3,17.42,17.41,0.49,2.81,40383.4,72703.9,1.5415,2.5235,0.82,193.418,245.333,3.3922,2.1125,1.894,0.4062,0.4062,29703.2,26197.4,16003.0,531688.0,468934.0,2.921,18.0034,0.110145,1.33576,2.67755,0.41486,0.273233,19.15,15.67,20676,19088,0.04050796504355915,1,15,56,2000-07-06
000990.SZ,2010-01-15,17.9,18.18,18.39,17.9,17.9,0.28,1.56,36370.9,66188.4,1.3883,2.2728,0.77,196.444,249.17,3.4452,2.1456,1.9237,0.4,0.4,29703.2,26197.4,16003.0,540005.0,476269.0,2.921,18.1982,0.202387,-0.301044,2.01301,0.353926,0.519856,19.69,16.11,18999,16496,0.0709582563540434,1,15,56,2000-07-06
000990.SZ,2010-01-18,18.21,18.49,18.49,17.7,18.18,0.31,1.71,53529.8,97049.3,2.0433,3.345,1.33,199.793,253.419,3.504,2.1821,1.9565,0.3933,0.3933,29703.2,26197.4,16003.0,549213.0,484391.0,2.921,18.13,0.207977,0.839029,2.87731,0.251814,0.404899,20.0,16.36,28238,18175,0.21803546118369027,1,15,56,2000-07-06
