Instrument,Date,Close,Open,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount
399370.SZ,2012-11-16,2454.03,2469.58,2470.14,2437.82,2475.22,-21.191,-0.8561,18312900.0,19451300.0
399370.SZ,2012-11-19,2446.32,2450.97,2450.97,2411.55,2454.03,-7.71,-0.3142,17336400.0,20815000.0
399370.SZ,2012-11-20,2438.8,2451.21,2459.64,2437.09,2446.32,-7.515,-0.3072,16539200.0,18987000.0
399370.SZ,2012-11-21,2468.2,2437.67,2468.34,2414.81,2438.8,29.396,1.2053,18815200.0,19777600.0
399370.SZ,2012-11-22,2444.29,2450.5,2454.88,2435.79,2468.2,-23.912,-0.9688,17575100.0,17921700.0
399370.SZ,2012-11-23,2459.41,2447.13,2472.9,2444.61,2444.29,15.124,0.6187,20725400.0,20453700.0
399370.SZ,2012-11-26,2435.18,2455.51,2458.64,2431.1,2459.41,-24.235,-0.9854,17565100.0,17953600.0
399370.SZ,2012-11-27,2396.56,2426.33,2430.63,2396.0,2435.18,-38.62,-1.5859,21145600.0,20191900.0
399370.SZ,2012-11-28,2365.97,2385.08,2385.89,2361.72,2396.56,-30.591,-1.2765,19950700.0,19597100.0
399370.SZ,2012-11-29,2354.29,2364.54,2381.66,2354.29,2365.97,-11.672,-0.4933,18792800.0,18577300.0
399370.SZ,2012-11-30,2386.27,2351.76,2389.15,2348.08,2354.29,31.971,1.358,23815300.0,21814100.0
399370.SZ,2012-12-03,2337.41,2381.86,2398.84,2336.75,2386.27,-48.857,-2.0474,26727100.0,26585700.0
399370.SZ,2012-12-04,2365.41,2328.49,2370.9,2318.22,2337.41,27.999,1.1979,25881000.0,26079800.0
399370.SZ,2012-12-05,2458.82,2359.1,2470.35,2356.86,2365.41,93.416,3.9493,50524200.0,49825700.0
399370.SZ,2012-12-06,2452.9,2456.16,2469.58,2436.18,2458.82,-5.92,-0.2408,33401300.0,33825200.0
399370.SZ,2012-12-07,2506.66,2452.54,2510.17,2447.05,2452.9,53.76,2.1917,50253300.0,49347400.0
399370.SZ,2012-12-10,2539.18,2511.08,2543.9,2501.94,2506.66,32.515,1.2971,49316700.0,46775700.0
399370.SZ,2012-12-11,2523.1,2530.22,2545.37,2520.39,2539.18,-16.078,-0.6332,37124100.0,37042000.0
399370.SZ,2012-12-12,2538.84,2523.47,2541.7,2513.29,2523.1,15.741,0.6239,32798500.0,32669400.0
399370.SZ,2012-12-13,2506.44,2531.83,2540.1,2506.4,2538.84,-32.407,-1.2764,31851100.0,30847800.0
399370.SZ,2012-12-14,2631.56,2505.24,2632.35,2505.24,2506.44,125.125,4.9922,67697700.0,66397800.0
399370.SZ,2012-12-17,2646.67,2635.79,2660.33,2633.07,2631.56,15.112,0.5743,60590300.0,64330000.0
399370.SZ,2012-12-18,2647.44,2639.33,2679.55,2623.1,2646.67,0.771,0.0291,54205000.0,59731600.0
399370.SZ,2012-12-19,2657.05,2638.99,2673.8,2634.46,2647.44,9.608,0.3629,44593100.0,49066000.0
399370.SZ,2012-12-20,2671.91,2645.43,2676.2,2626.98,2657.05,14.854,0.559,44871300.0,49263800.0
399370.SZ,2012-12-21,2662.49,2672.18,2707.12,2650.86,2671.91,-9.414,-0.3523,45462600.0,51244700.0
399370.SZ,2012-12-24,2667.12,2651.86,2681.33,2649.01,2662.49,4.631,0.1739,33148600.0,41316500.0
399370.SZ,2012-12-25,2740.75,2657.18,2752.16,2648.98,2667.12,73.624,2.7604,58777600.0,63745500.0
399370.SZ,2012-12-26,2760.66,2738.89,2760.68,2736.99,2740.75,19.909,0.7264,48026000.0,53195000.0
399370.SZ,2012-12-27,2744.49,2767.74,2782.01,2739.06,2760.66,-16.167,-0.5856,48207400.0,54458300.0
399370.SZ,2012-12-28,2780.95,2745.69,2781.52,2743.09,2744.49,36.462,1.3286,42384600.0,47462400.0
399370.SZ,2012-12-31,2826.11,2787.46,2826.17,2787.46,2780.95,45.165,1.6241,50554000.0,56741100.0
399370.SZ,2013-01-04,2822.07,2857.71,2865.7,2792.49,2826.11,-4.043,-0.1431,53044200.0,63011100.0
399370.SZ,2013-01-07,2840.84,2815.16,2842.32,2804.39,2822.07,18.765,0.6649,43498800.0,50204500.0
399370.SZ,2013-01-08,2843.74,2838.64,2851.65,2807.25,2840.84,2.898,0.102,47719300.0,58323200.0
399370.SZ,2013-01-09,2849.46,2834.93,2861.6,2824.13,2843.74,5.724,0.2013,48499000.0,57444300.0
399370.SZ,2013-01-10,2855.02,2848.12,2880.53,2836.97,2849.46,5.563,0.1952,45708400.0,49762600.0
399370.SZ,2013-01-11,2795.11,2858.97,2865.63,2786.53,2855.02,-59.911,-2.0984,49749800.0,53458000.0
399370.SZ,2013-01-14,2903.78,2785.07,2907.05,2784.86,2795.11,108.674,3.888,56190700.0,66601400.0
399370.SZ,2013-01-15,2936.43,2906.44,2947.11,2901.72,2903.78,32.644,1.1242,60440600.0,72582400.0
399370.SZ,2013-01-16,2914.74,2928.17,2934.86,2871.82,2936.43,-21.691,-0.7387,56847700.0,67821200.0
399370.SZ,2013-01-17,2888.09,2905.86,2917.07,2875.48,2914.74,-26.644,-0.9141,42810400.0,48630300.0
399370.SZ,2013-01-18,2947.61,2903.1,2957.14,2889.71,2888.09,59.52,2.0609,50537300.0,55822600.0
399370.SZ,2013-01-21,2963.97,2954.58,2963.97,2930.0,2947.61,16.359,0.555,56238400.0,62547300.0
399370.SZ,2013-01-22,2928.31,2959.94,2961.77,2903.18,2963.97,-35.664,-1.2032,56631700.0,64686100.0
399370.SZ,2013-01-23,2940.15,2916.1,2941.97,2900.37,2928.31,11.841,0.4044,42581500.0,48004300.0
399370.SZ,2013-01-24,2899.79,2937.87,2991.54,2877.05,2940.15,-40.356,-1.3726,58829300.0,66305300.0
399370.SZ,2013-01-25,2888.44,2893.75,2910.92,2879.56,2899.79,-11.354,-0.3915,36698300.0,43464200.0
399370.SZ,2013-01-28,2976.84,2891.4,2977.06,2891.4,2888.44,88.404,3.0606,51701400.0,65474800.0
399370.SZ,2013-01-29,3003.72,2981.14,3014.21,2971.71,2976.84,26.879,0.9029,56573500.0,68135000.0
399370.SZ,2013-01-30,3014.46,3004.9,3017.0,2986.74,3003.72,10.736,0.3574,55473700.0,64156800.0
399370.SZ,2013-01-31,2999.87,3016.79,3020.98,2987.59,3014.46,-14.593,-0.4841,49913400.0,57175800.0
399370.SZ,2013-02-01,3066.51,2991.7,3067.32,2986.54,2999.87,66.643,2.2215,53718800.0,67274600.0
399370.SZ,2013-02-04,3064.12,3078.04,3091.7,3049.12,3066.51,-2.393,-0.078,64188300.0,81216800.0
399370.SZ,2013-02-05,3111.48,3042.25,3112.0,3040.89,3064.12,47.364,1.5458,61134000.0,68439600.0
399370.SZ,2013-02-06,3123.2,3113.12,3137.43,3106.66,3111.48,11.719,0.3766,46256400.0,58007300.0
399370.SZ,2013-02-07,3109.58,3116.61,3121.12,3073.07,3123.2,-13.615,-0.4359,45666300.0,58717500.0
399370.SZ,2013-02-08,3130.14,3103.44,3153.94,3096.01,3109.58,20.557,0.6611,45384000.0,56967300.0
399370.SZ,2013-02-18,3104.67,3144.25,3148.04,3096.53,3130.14,-25.468,-0.8136,47212000.0,57776000.0
399370.SZ,2013-02-19,3038.85,3100.59,3103.41,3025.85,3104.67,-65.818,-2.12,52351600.0,58682500.0
399370.SZ,2013-02-20,3067.8,3036.82,3068.46,3022.71,3038.85,28.945,0.9525,44959800.0,52027100.0
399370.SZ,2013-02-21,2975.69,3038.44,3038.44,2943.84,3067.8,-92.112,-3.0025,58942600.0,71127700.0
399370.SZ,2013-02-22,2959.06,2970.49,2989.17,2953.42,2975.69,-16.623,-0.5586,39879200.0,51201900.0
399370.SZ,2013-02-25,2974.74,2967.24,2990.92,2955.92,2959.06,15.67,0.5296,35240200.0,43242000.0
399370.SZ,2013-02-26,2938.99,2958.92,3006.51,2937.48,2974.74,-35.745,-1.2016,47617900.0,59147400.0
399370.SZ,2013-02-27,2959.07,2947.08,2986.52,2933.0,2938.99,20.079,0.6832,38079000.0,45084000.0
399370.SZ,2013-02-28,3043.26,2977.11,3043.26,2955.63,2959.07,84.187,2.8451,49504000.0,61218500.0
399370.SZ,2013-03-01,3044.66,3041.28,3054.32,3001.43,3043.26,1.402,0.0461,46083000.0,57767700.0
399370.SZ,2013-03-04,2893.65,2985.51,2985.51,2875.18,3044.66,-151.006,-4.9597,66761800.0,77048200.0
399370.SZ,2013-03-05,2980.37,2891.14,2980.63,2885.22,2893.65,86.714,2.9967,51357000.0,61173400.0
399370.SZ,2013-03-06,3019.8,2993.72,3024.85,2980.46,2980.37,39.432,1.3231,57071300.0,67771000.0
399370.SZ,2013-03-07,2988.87,3005.95,3028.6,2955.02,3019.8,-30.932,-1.0243,53444500.0,66097100.0
399370.SZ,2013-03-08,2972.72,2993.19,3005.83,2968.52,2988.87,-16.15,-0.5403,36029300.0,44812700.0
