feature,count,missing,sum,mean,median,mode,min,q1,q3,max,variance,std,cv,skew,kurtosis
CS_IMAX10,1209170,0,617695.4999999999,0.5108425614264329,0.5,0.1,0.1,0.2,0.8,1.0,0.11240946352281503,0.3352752056487551,0.6563180732485591,0.15156652500838202,-1.485206699492549
CS_IMAX20,1209170,0,587362.4,0.4857566760670543,0.45,0.05,0.05,0.15,0.8,1.0,0.11849866141890213,0.34423634529041547,0.7086600395851209,0.14529447861317274,-1.4799387869320293
CS_IMAX30,1209170,0,571920.0345715998,0.47298563028490603,0.43333334,0.033333335,0.033333335,0.13333334,0.8,1.0,0.11975899900006494,0.3460621317047922,0.731654641381683,0.16486863911666425,-1.46759695093402
CS_IMAX60,1209170,0,551537.3176782599,0.4561288467942968,0.41666666,0.016666668,0.016666668,0.11666667,0.78333336,1.0,0.11800015648323492,0.34351150851643225,0.753101916115706,0.2125915863679009,-1.4166500152811357
CS_IMIN5,1209170,0,695600.4000000001,0.5752709709966342,0.6,0.2,0.2,0.2,1.0,1.0,0.10147187239033824,0.31854649957319925,0.553732963478637,0.11329845967537606,-1.5550195997296197
CS_IMIN10,1209170,0,632130.2000000001,0.5227802542239719,0.5,0.1,0.1,0.2,0.9,1.0,0.11123025262916099,0.33351199772895873,0.6379582913360649,0.10954715486606058,-1.4833490278276584
CS_IMIN20,1209170,0,604170.7500000001,0.4996574096280921,0.5,0.05,0.05,0.15,0.85,1.0,0.11492172358201247,0.339001067228427,0.6784670069853547,0.09409828350248459,-1.459258775549996
CS_IMIN30,1209170,0,599748.0345486898,0.4959997639278926,0.5,0.033333335,0.033333335,0.16666667,0.8333333,1.0,0.11543945122070864,0.3397638168209038,0.685008021234256,0.07045307786231214,-1.4502414218821411
CS_IMIN60,1209170,0,601898.2175501359,0.49777799445085136,0.5,0.016666668,0.016666668,0.16666667,0.81666666,1.0,0.11395814844279077,0.3375768778260602,0.6781675397251641,0.017184724414508516,-1.4304437223455295
CS_IMXD5,1209170,0,-19799.99999999999,-0.016374868711595547,0.0,-0.6,-0.8,-0.6,0.4,0.8,0.3082881694779723,0.5552370390004365,-33.90787729536153,0.015259429567103473,-1.4692316457706698
