Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000300.SH,2008-04-15,3536.327000,3513.068000,3583.861000,3417.249000,3583.299000,1.3282708302,3065688600,48997126630.000000,1.0841144200,1.2447093200,4.7114421263,1,0,300,233,49,4,1,2.1629000000,2.3682000000,0,15,1.3333333333,10.6666666667,77.6666666667
000300.SH,2008-04-16,3583.299000,3573.664000,3583.808000,3483.185000,3494.016000,-2.4916424781,2652812000,42087715038.000000,0.9404414800,1.0789071200,2.8081106265,0,1,300,41,244,0,5,-3.0293000000,-3.2271000000,0,2,0E-10,9.3333333333,13.6666666667
000300.SH,2008-04-17,3494.016000,3493.238000,3559.100000,3340.875000,3386.630000,-3.0734261091,2953061800,46829953187.000000,1.0410743000,1.1947257600,6.2456783255,0,2,300,29,254,1,11,-3.8992000000,-3.9604000000,1,20,0.3333333333,8.3333333333,9.6666666667
000300.SH,2008-04-18,3386.630000,3356.562000,3390.551000,3248.528000,3272.499000,-3.3700463292,2788816200,42184118932.000000,0.9958883000,1.1455260800,4.1936379232,0,3,300,20,256,0,16,-4.7087000000,-4.9548000000,0,39,0E-10,7.3333333333,6.6666666667
000300.SH,2008-04-21,3272.499000,3516.425000,3516.425000,3223.886000,3267.554000,-0.1511077620,4136230700,64657686523.000000,1.5080526600,1.7018887200,8.9393151839,0,4,300,168,115,1,16,-0.6463000000,0.5492000000,0,24,0.3333333333,7.0000000000,56.0000000000
000300.SH,2008-04-22,3267.554000,3207.881000,3301.548000,3122.390000,3296.277000,0.8790367351,3253796900,47706441787.000000,1.1583470300,1.3298392700,5.4829392261,1,0,300,128,151,5,2,-0.2391000000,-0.4149000000,0,46,1.6666666667,7.0000000000,42.6666666667
000300.SH,2008-04-23,3296.277000,3267.359000,3467.431000,3245.296000,3453.727000,4.7766009956,4427255300,67718617064.000000,1.5910046800,1.8281202500,6.7389664157,2,0,300,281,2,25,1,5.1912000000,4.7105000000,0,4,8.3333333333,9.0000000000,93.6666666667
000300.SH,2008-04-24,3453.727000,3739.321000,3781.477000,3659.726000,3774.504000,9.2878504873,9657489600,149394569187.000000,3.3410978500,3.8489964500,3.5252062482,3,0,300,287,1,194,1,9.6447000000,9.9905000000,0,0,64.6666666667,13.0000000000,95.6666666667
000300.SH,2008-04-25,3774.504000,3781.912000,3915.841000,3737.984000,3803.070000,0.7568146702,8481449100,147098326810.000000,2.9649138900,3.4100210400,4.7120628300,4,0,300,172,105,16,1,1.5097000000,0.9580000000,3,1,5.3333333333,12.3333333333,57.3333333333
000300.SH,2008-04-28,3803.070000,3740.951000,3791.770000,3711.185000,3729.154000,-1.9435876805,4883123500,85070654687.000000,1.7584506800,2.0224547200,2.1189460094,0,1,300,69,208,2,2,-1.6640000000,-2.1030000000,1,0,0.6666666667,11.3333333333,23.0000000000
000300.SH,2008-04-29,3729.154000,3704.927000,3797.528000,3702.021000,3776.943000,1.2814970902,4454044000,78895825483.000000,1.5344830700,1.7607833400,2.5610902634,1,0,300,211,65,3,1,1.3170000000,1.0326000000,0,0,1.0000000000,12.3333333333,70.3333333333
000300.SH,2008-04-30,3776.943000,3793.853000,3970.575000,3793.853000,3959.119000,4.8233717056,6990977700,122637220696.000000,2.4029348200,2.7668904800,4.6789692087,2,0,300,283,4,16,2,4.5398000000,4.0987000000,0,1,5.3333333333,16.0000000000,94.3333333333
