Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,Amount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000906.SH,2008-02-29,4655.410200,4649.830100,4714.149900,4633.839800,4710.779800,1.1893602845,4874550000,82959411000.000000,1.3189657100,1.4689589300,1.7250918082,1,0,800,615,133,3,0,1.4346000000,1.1309000000,5,0,0.3750000000,75.2500000000,76.8750000000
000906.SH,2008-03-03,4710.779800,4688.069800,4846.730000,4653.129900,4837.490200,2.6897967084,7668100000,134534790000.000000,2.0387699100,2.2879915400,4.1097251033,2,0,800,752,17,28,0,3.3168000000,2.8299000000,13,0,3.5000000000,79.8750000000,94.0000000000
000906.SH,2008-03-04,4837.490200,4859.060100,4883.680200,4723.600100,4737.370100,-2.0696703427,8829790000,149924670000.000000,2.3628622300,2.6492053700,3.3091560578,0,1,800,224,538,5,0,-1.0191000000,-1.3483000000,15,0,0.6250000000,76.8750000000,28.0000000000
000906.SH,2008-03-05,4737.370100,4716.910200,4757.350100,4593.640100,4709.240200,-0.5937872576,7799730000,127634340000.000000,2.0882453600,2.3382696400,3.4557148068,0,2,800,385,379,9,0,0.2668000000,0E-10,7,3,1.1250000000,77.0000000000,48.1250000000
000906.SH,2008-03-06,4709.240200,4725.240200,4812.879900,4684.120100,4754.870100,0.9689439923,8916030000,147100460000.000000,2.3587877000,2.6514451100,2.7341947858,1,0,800,444,311,9,0,0.5960000000,0.4301000000,8,1,1.1250000000,78.6250000000,55.5000000000
000906.SH,2008-03-07,4754.870100,4715.080100,4755.850100,4661.970200,4682.509800,-1.5218144445,5864470000,101946624000.000000,1.5564499400,1.7507415500,1.9743946317,0,1,800,138,627,1,1,-1.9977000000,-2.2340000000,3,0,0.1250000000,75.8750000000,17.2500000000
000906.SH,2008-03-10,4682.509800,4649.480000,4649.540000,4472.540000,4499.169900,-3.9154194616,5563820000,93921781000.000000,1.4777071300,1.6589370900,3.7800241230,0,2,800,60,711,1,0,-3.5908000000,-3.7942000000,1,4,0.1250000000,66.7500000000,7.5000000000
000906.SH,2008-03-11,4499.169900,4460.410200,4521.210000,4386.060100,4521.210000,0.4898703648,4671610000,81111927000.000000,1.2351860900,1.3891625600,3.0038852278,1,0,800,540,218,3,0,1.1530000000,1.1818000000,2,6,0.3750000000,68.3750000000,67.5000000000
000906.SH,2008-03-12,4521.210000,4610.970200,4630.970200,4389.359900,4390.250000,-2.8965697236,4968500000,87441831000.000000,1.3192843500,1.4851061600,5.3439300541,0,1,800,63,699,2,3,-2.8337000000,-3.0282000000,1,5,0.2500000000,61.3750000000,7.8750000000
000906.SH,2008-03-13,4390.250000,4345.490200,4371.689900,4181.540000,4263.020000,-2.8980126416,6037610000,100364401000.000000,1.5962462600,1.7910869900,4.3311861511,0,2,800,81,690,1,13,-3.7940000000,-4.1109000000,0,11,0.1250000000,50.7500000000,10.1250000000
